userid,bookid,rating
1,2238,4
1,2311,4
1,402,4
1,2560,2
1,1957,4
1,1486,3
1,2516,3
1,1375,3
1,726,5
1,411,3
1,889,1
1,1260,3
1,1951,2
1,2116,5
1,2303,4
1,805,3
1,2164,5
1,2067,2
1,1182,5
1,400,2
1,2010,1
1,2277,4
1,1417,2
1,1567,4
1,1419,2
1,1464,2
1,965,5
1,610,5
1,612,4
1,1745,5
1,302,2
1,796,1
1,824,2
1,1996,3
1,987,2
1,859,3
1,797,2
1,2580,4
1,968,2
1,1584,5
1,1070,3
1,1373,2
1,838,4
1,2382,5
1,676,1
1,2001,5
1,1198,5
1,471,5
1,1170,5
1,286,2
2,660,2
2,1667,4
2,2254,5
2,104,1
2,2100,1
2,1069,4
2,1488,5
2,1068,3
2,1238,5
2,666,4
2,692,4
2,982,2
2,482,4
2,2490,1
2,1420,2
2,105,2
2,2215,2
2,925,5
2,822,2
2,2244,4
2,2369,3
2,2199,4
2,2622,3
2,384,5
2,2381,1
2,1204,4
2,2616,1
2,1547,1
2,448,1
2,1191,5
2,1058,1
2,2456,3
2,850,4
2,1551,4
2,1817,2
2,1642,2
2,2227,4
2,1060,5
2,1083,4
2,360,4
2,288,5
2,547,4
2,590,5
2,209,1
2,978,5
2,580,2
2,2162,2
2,544,1
2,1461,5
2,1240,2
3,2044,4
3,291,5
3,71,5
3,2183,4
3,1421,5
3,1017,2
3,322,5
3,2528,3
3,2355,5
3,460,3
3,2280,3
3,2015,4
3,137,5
3,876,4
3,1703,4
3,2604,1
3,1251,1
3,1467,3
3,1711,1
3,435,2
3,1971,5
3,457,4
3,439,4
3,1682,2
3,1229,2
3,1716,2
3,1816,1
3,815,5
3,679,5
3,79,1
3,2409,1
3,1969,1
3,2476,1
3,941,1
3,2458,2
3,707,1
3,2290,2
3,2561,2
3,677,1
3,1322,1
3,1820,3
3,2093,1
3,1825,2
3,2633,2
3,2249,3
3,2515,3
3,1405,4
3,343,4
3,2610,5
3,313,3
4,868,2
4,1369,3
4,1068,5
4,2255,1
4,1627,3
4,788,5
4,2505,1
4,2271,3
4,1063,2
4,321,4
4,1570,2
4,2563,5
4,834,3
4,2208,1
4,1530,1
4,1454,1
4,123,3
4,1041,1
4,2612,4
4,1726,1
4,2331,2
4,1235,2
4,1784,3
4,895,1
4,2531,5
4,380,3
4,838,2
4,1468,4
4,1831,2
4,1412,1
4,974,5
4,1821,2
4,548,1
4,670,1
4,2047,5
4,624,2
4,672,4
4,2440,2
4,2170,2
4,1310,2
4,1616,2
4,106,4
4,905,3
4,2108,5
4,1974,4
4,753,4
4,653,4
4,1112,2
4,1187,4
4,1609,5
5,1790,5
5,1541,5
5,1515,3
5,908,5
5,496,3
5,1380,2
5,2633,5
5,1466,5
5,1898,5
5,2137,4
5,1053,5
5,2156,4
5,913,2
5,688,1
5,1988,4
5,2585,4
5,2128,3
5,56,3
5,658,2
5,1389,3
5,1528,4
5,963,2
5,2026,1
5,652,2
5,2538,5
5,372,3
5,864,3
5,146,1
5,1282,2
5,599,1
5,82,3
5,699,2
5,2280,5
5,2535,3
5,2351,1
5,551,5
5,1346,4
5,2430,4
5,1966,2
5,1771,5
5,1690,1
5,1571,1
5,134,3
5,2589,3
5,673,2
5,2141,1
5,666,2
5,2013,1
5,1942,1
5,2500,2
6,1489,5
6,1139,5
6,2060,3
6,1147,3
6,494,5
6,2063,1
6,2604,5
6,817,1
6,127,2
6,723,1
6,1862,5
6,1192,5
6,10,1
6,1855,2
6,2549,1
6,1496,1
6,496,4
6,375,1
6,1654,1
