item,price,region,like,chat,image
샤넬 디올 가방들 정리합니다,100원,부산 해운대구 우제2동,112,63,images/bs/bsimg0.jpg
크록스 새제품팝니다,"28,000원",부산 기장군 정관읍,14,39,images/bs/bsimg1.jpg
가져가주세요ㅠㅠ,"5,000원",부산 서구 암남동,12,7,images/bs/bsimg2.jpg
"이사가면서 가전정리합니다(세탁기,장농 밥솥장 건조기)","30,000원",부산 수영구 망미제2동,16,23,images/bs/bsimg3.jpg
보아르 제습기,"50,000원",부산 부산진구 범천동,8,12,images/bs/bsimg4.jpg
"백태콩,검은콩","10,000원",부산 북구 금곡동,3,11,images/bs/bsimg5.jpg
베트남 동 판매합니다,"197,000원",부산 남구 대연제3동,9,13,images/bs/bsimg6.jpg
헌터 레인부츠,"160,000원",부산 남구 대연제1동,17,20,images/bs/bsimg7.jpg
이케아 점포정리,,부산 강서구 명지2동,27,25,images/bs/bsimg8.jpg
5단렉선반,"20,000원",부산 동래구 사직동,12,10,images/bs/bsimg9.jpg
sk매직 전자레인지,"20,000원",부산 연제구 연산동,4,7,images/bs/bsimg10.jpg
삼성공기청정기,"20,000원",부산 부산진구 부암제3동,4,5,images/bs/bsimg11.jpg
참기름,"3,000원",부산 남구 대연제6동,11,30,images/bs/bsimg12.jpg
베베드피노 모자,"15,000원",부산 부산진구 당감동,1,13,images/bs/bsimg13.jpg
접이식 자전거,"10,000원",부산 해운대구 우동,6,8,images/bs/bsimg14.jpg
에어팟 프로2,"80,000원",부산 수영구 망미동,12,11,images/bs/bsimg15.jpg
갤럭시 S21,"280,000원",부산 부산진구 가야제1동,6,7,images/bs/bsimg16.jpg
SK매직 식기세척기 6인용,"10,000원",부산 서구 서대신제3동,15,15,images/bs/bsimg17.jpg
워치5 40미리 골프에디션,"150,000원",부산 부산진구 부전동,6,11,images/bs/bsimg18.jpg
lg코드제로 청소기,"40,000원",부산 북구 구포동,11,1,images/bs/bsimg19.jpg
베트남 동 팔아요,"106,000원",부산 동래구 명장제1동,2,10,images/bs/bsimg20.jpg
먹태깡 새거 정가 판매합니다,"1,700원",부산 부산진구 전포동,6,7,images/bs/bsimg21.jpg
다이슨 공기청정기,"100,000원",부산 동래구 온천동,9,5,images/bs/bsimg22.jpg
테라스 파라솔+라탄테이블+의자,"130,000원",부산 강서구 명지1동,21,2,images/bs/bsimg23.jpg
원도우냉장고,"100,000원",부산 연제구 거제동,5,11,images/bs/bsimg24.jpg
