item,price,region,like,chat,image
매장정리합니다.,"1,000원","인천 연수구 송도동 월드마크 1,2 단지",14,4,images/ic/icimg0.jpg
코웨이 제습기 급처9만^^,"90,000원",인천 남동구 논현2동,10,11,images/ic/icimg1.jpg
월광보합 2900,"40,000원",인천 부평구 청천동,10,11,images/ic/icimg2.jpg
신세계 상품권 30만원 판매 합니다,"270,000원",인천 부평구 청천1동,2,16,images/ic/icimg3.jpg
위닉스제습기 판매합니다,"30,000원","인천 미추홀구 도화2,3동",6,10,images/ic/icimg4.jpg
Haier 냉장고 저렴하게 팝니다!,"50,000원",인천 중구 운서동,0,11,images/ic/icimg5.jpg
플립2 화이트 *정상해지*,"100,000원",인천 미추홀구 주안8동,5,5,images/ic/icimg6.jpg
냉장고~ 팝니다,"50,000원",인천 서구 검암경서동,5,3,images/ic/icimg7.jpg
카놀라유 / 올리고당 / 스팸,"2,000원",인천 부평구 삼산동,23,18,images/ic/icimg8.jpg
lg냉장고,"50,000원",인천 서구 당하동,6,4,images/ic/icimg9.jpg
제습기,"120,000원",인천 부평구 부평6동,3,13,images/ic/icimg10.jpg
선풍기팝니다,"3,000원",인천 연수구 송도동,12,17,images/ic/icimg11.jpg
한샘 4인용 소파 팝니다.,"100,000원",인천 계양구 계산동,16,8,images/ic/icimg12.jpg
파세코 창문형 에어컨,"50,000원",인천 부평구 부개2동,2,6,images/ic/icimg13.jpg
싸게 급처분합니다,"200,000원",인천 부평구 십정1동,5,10,images/ic/icimg14.jpg
갤A23,"150,000원",인천 서구 청라동,7,15,images/ic/icimg15.jpg
몽클.스톱.발레시아가.등 여러종류있어요 문의주세요,,인천 미추홀구 학익2동,27,26,images/ic/icimg16.jpg
반건조오징어,"5,000원",인천 부평구 갈산1동,9,4,images/ic/icimg17.jpg
엘지냉장고 LG냉장고 4도어냉장고 팝니다,"60,000원",인천 서구 청라2동,8,5,images/ic/icimg18.jpg
냉장고,"50,000원",인천 부평구 부평동,10,4,images/ic/icimg19.jpg
먹태깡,"1,700원",인천 남동구 만수동,1,7,images/ic/icimg20.jpg
친구가 접어준 종이 용 팝니다,"10,000원",인천 연수구 송도3동,8,2,images/ic/icimg21.jpg
코카콜라냉장고,"50,000원",인천 서구 가좌2동,11,8,images/ic/icimg22.jpg
캠핑 롤 우드테이블 팔아요(새상품),"20,000원",인천 부평구 부평4동,65,27,images/ic/icimg23.jpg
LG TV  팔아요...,"50,000원",인천 서구 청라동,26,28,images/ic/icimg24.jpg
구찌 마몽  그로스백,"250,000원",인천 중구 중산동,44,22,images/ic/icimg25.jpg
이케아 헬메르 서랍장,"1,000원",인천 서구 신현동,3,5,images/ic/icimg26.jpg
리바트 꼼므 책상,"60,000원",인천 계양구 효성동,12,7,images/ic/icimg27.jpg
5단앵글,"50,000원",인천 부평구 부평동,4,5,images/ic/icimg28.jpg
