item,price,region,like,chat,image
엘지제습기,"150,000원",광주 북구 본촌동,9,11,images/gj/gjimg0.jpg
냉장고,"70,000원",광주 북구 오치동,10,12,images/gj/gjimg1.jpg
선풍기,"5,000원",광주 광산구 첨단1동,24,48,images/gj/gjimg2.jpg
미닛뮤트 실버,"30,000원",광주 서구 쌍촌동,20,9,images/gj/gjimg3.jpg
가져가세요ㅠㅠ,"10,000원",광주 서구 금호동,7,5,images/gj/gjimg4.jpg
미니 냉장고,"50,000원",광주 서구 치평동,18,11,images/gj/gjimg5.jpg
스터디카페 정리합니다,111원,광주 서구 유촌동,8,13,images/gj/gjimg6.jpg
목걸이 팔아요,"75,000원",광주 서구 화정3동,34,25,images/gj/gjimg7.jpg
냉장고,"180,000원",광주 서구 치평동,14,28,images/gj/gjimg8.jpg
TV75인치,"450,000원",광주 서구 치평동,34,35,images/gj/gjimg9.jpg
추피의 생활이야기 세이펜가능,"70,000원",광주 광산구 운남동,0,9,images/gj/gjimg10.jpg
아이폰13프로맥스 128기가 실버,"890,000원",광주 광산구 월곡2동,5,10,images/gj/gjimg11.jpg
1~3인용 쿠쿠밥솥,"20,000원",광주 북구 임동,10,6,images/gj/gjimg12.jpg
아이폰 14프로 딥퍼플 128기가,115만원,광주 북구 임동,4,9,images/gj/gjimg13.jpg
변산 리조트펜션(더웨스트) 7.22 토 숙박,"110,000원",광주 광산구 장덕동,29,10,images/gj/gjimg14.jpg
어린이 장구14-16 팔아요,"40,000원",광주 광산구 산정동,3,12,images/gj/gjimg15.jpg
야자매트  새물건 판매 합니다.   1M×10M,"71,500원",광주 북구 운암동,57,22,images/gj/gjimg16.jpg
딥디크 베티베리오,"30,000원",광주 북구 용봉동,6,2,images/gj/gjimg17.jpg
이동식주택팝니다,1000만원,광주 북구 중흥3동,80,9,images/gj/gjimg18.jpg
어린이 자전거.3만,"30,000원",광주 서구 동천동,5,7,images/gj/gjimg19.jpg
LG 에어컨 2in1,"650,000원",광주 북구 양산동,4,7,images/gj/gjimg20.jpg
행거 선반 팝니다,"35,000원",광주 북구 연제동,28,11,images/gj/gjimg21.jpg
중흥골드스파 워터락 성수기 이용권 판매,"43,000원",광주 서구 치평동,5,8,images/gj/gjimg22.jpg
LG 세탁기. 건조기,110만원,광주 광산구 장덕동,26,10,images/gj/gjimg23.jpg
폴드2팔아요,"70,000원",광주 북구 운암1동,6,8,images/gj/gjimg24.jpg
