item,price,region,like,chat,image
명품 다 정리합니다,999만 9999원,울산 울주군 범서읍,43,51,images/us/usimg0.jpg
울산서머페스티벌 티켓 양도,12원,울산 북구 염포동,1,17,images/us/usimg1.jpg
명품 다 정리합니다,999만 9999원,울산 울주군 범서읍,11,35,images/us/usimg2.jpg
가게 정리합니다,"1,000원",울산 울주군 범서읍,4,1,images/us/usimg3.jpg
냉장고 팝니다!,"70,000원",울산 북구 화봉동,6,9,images/us/usimg4.jpg
삼성 제습기 거의 사용 안함,"100,000원",울산 남구 삼산동,8,6,images/us/usimg5.jpg
경주펜션 양도합니다,"130,000원",울산 북구 매곡동,20,10,images/us/usimg6.jpg
위닉스 14L 제습기,"130,000원",울산 동구 서부동,16,11,images/us/usimg7.jpg
모토벨로 전기자전거 팝니다. 빨리오시는분 우선 판매,"170,000원",울산 남구 달동,12,6,images/us/usimg8.jpg
선풍기 판매,"5,000원",울산 중구 반구동,6,6,images/us/usimg9.jpg
타보 휴대용 유모차,"1,000원",울산 북구 화봉동,3,4,images/us/usimg10.jpg
명품 다 정리합니다,999만 9999원,울산 울주군 온산읍,11,22,images/us/usimg11.jpg
LG led tv 55인치,"100,000원",울산 남구 신정동,5,8,images/us/usimg12.jpg
이케아 3단 트롤리,"15,000원",울산 남구 신정3동,4,4,images/us/usimg13.jpg
주민증 주웠어요,1원,울산 울주군 범서읍,0,6,images/us/usimg14.jpg
이동식 에어컨,"90,000원",울산 울주군 온양읍,2,3,images/us/usimg15.jpg
그레이트북스 놀라운자연 전집 판매합니다.,"120,000원",울산 중구 유곡동,9,7,images/us/usimg16.jpg
캣타워,"20,000원",울산 중구 서동,13,11,images/us/usimg17.jpg
삼성 무풍 에어컨 팝니다,"500,000원",울산 북구 염포동,1,5,images/us/usimg18.jpg
위닉스 제습기(10L)팝니다,"70,000원",울산 중구 유곡동,4,11,images/us/usimg19.jpg
여러시계 정품만 판매합니다,1000만원,울산 울주군 범서읍,7,7,images/us/usimg20.jpg
평상,"200,000원",울산 남구 삼산동,29,6,images/us/usimg21.jpg
이엠텍 GTX 1060 3g 잠시 판매보류,"50,000원",울산 중구 복산2동,12,8,images/us/usimg22.jpg
그레이트북스 놀라운자연,"170,000원",울산 북구 화봉동,7,8,images/us/usimg23.jpg
TV55인치급처합니다,"100,000원",울산 동구 방어동,6,6,images/us/usimg24.jpg
삼성버즈 2팔아요,"30,000원",울산 중구 태화동,9,15,images/us/usimg25.jpg
냉장고,"30,000원",울산 남구 수암동,3,12,images/us/usimg26.jpg
나무 선반,"5,000원",울산 남구 신정3동,3,5,images/us/usimg27.jpg
미니백,"320,000원",울산 중구 병영2동,12,9,images/us/usimg28.jpg
컨테이너,100만원,울산 중구 복산동,31,22,images/us/usimg29.jpg
세탁기,"20,000원",울산 동구 방어동,2,5,images/us/usimg30.jpg
☕️카페 재고 정리 중☕️린넨,"1,500원",울산 남구 삼산동,10,8,images/us/usimg31.jpg
이동식 에어컨 냉방기 원룸에어컨,"100,000원",울산 중구 성안동,4,4,images/us/usimg32.jpg
