item,price,region,like,chat,image
위닉스 제습기 (DXAH100-IWK),"70,000원",충남 천안시 서북구 불당동,35,70,images/cn/cnimg0.jpg
제습기 팝니다,"30,000원",충남 천안시 서북구 성거읍,8,27,images/cn/cnimg1.jpg
쿠쿠 제습기,"50,000원",충남 천안시 서북구 쌍용2동,4,18,images/cn/cnimg2.jpg
아임삭 드릴,"70,000원",충남 아산시 배방읍,16,8,images/cn/cnimg3.jpg
가정용 냉동고 판매,"150,000원",충남 서산시 동문2동,9,11,images/cn/cnimg4.jpg
오크힐 연습장쿠폰 팝니다.,,충남 천안시 서북구 백석동,3,11,images/cn/cnimg5.jpg
삼성 S23U 256GB 새폰,"310,000원",충남 아산시 온양2동,10,28,images/cn/cnimg6.jpg
자전거 사실분,"70,000원",충남 당진시 대덕동,14,17,images/cn/cnimg7.jpg
직접농사지은고춧가루,"25,000원",충남 서산시 석림동,2,0,images/cn/cnimg8.jpg
제습기 판매합니다.,"150,000원",충남 태안군 태안읍,13,16,images/cn/cnimg9.jpg
에어컨,"60,000원",충남 천안시 동남구 신부동,2,7,images/cn/cnimg10.jpg
삼성 무풍에어컨,"350,000원",충남 서산시 읍내동,6,4,images/cn/cnimg11.jpg
붙임머리 골라가세요,"50,000원",충남 천안시 서북구 두정동,8,15,images/cn/cnimg12.jpg
z플립3,"150,000원",충남 아산시 배방읍,13,7,images/cn/cnimg13.jpg
말본 바지 팔아용!!,,충남 아산시 온천동,12,19,images/cn/cnimg14.jpg
무선 청소기,"10,000원",충남 아산시 배방읍,2,7,images/cn/cnimg15.jpg
컨테이너 3x5 판매합니다,"700,000원",충남 공주시 계룡면,2,7,images/cn/cnimg16.jpg
"카놀라유 500ml*4 6,000원에 판매합니다.","6,000원",충남 아산시 배방읍,3,7,images/cn/cnimg17.jpg
클라쎄 냉장고 판매,"90,000원",충남 아산시 음봉면,3,9,images/cn/cnimg18.jpg
고야드 클러치 mm 급처합니다,"110,000원",충남 천안시 서북구 부성1동,5,10,images/cn/cnimg19.jpg
초보미싱,"20,000원",충남 예산군 덕산면,0,3,images/cn/cnimg20.jpg
선반,"10,000원",충남 천안시 서북구 불당동,11,12,images/cn/cnimg21.jpg
원목 선반,"10,000원",충남 천안시 서북구 쌍용동,6,2,images/cn/cnimg22.jpg
급처!! 21년 구매 삼성2in1 무풍에어컨,"500,000원",충남 아산시 배방읍,9,7,images/cn/cnimg23.jpg
버즈2프로,"95,000원",충남 아산시 배방읍,8,11,images/cn/cnimg24.jpg
삼성 아기사랑세탁기,"35,000원",충남 천안시 서북구 불당동,5,5,images/cn/cnimg25.jpg
"루이비통 탬버린백 팔아요(정품이구요,하자있어요(몇군데 리폼했어요)","290,000원",충남 아산시 탕정면,17,5,images/cn/cnimg26.jpg
삼성 65인치 스탠드 TV,"100,000원",충남 아산시 배방읍,7,2,images/cn/cnimg27.jpg
테팔 무선청소기,"10,000원",충남 아산시 권곡동,5,8,images/cn/cnimg28.jpg
게이밍 본체 판매합니다,"300,000원",충남 당진시 채운동,17,14,images/cn/cnimg29.jpg
각종 샤워호스,"1,000원",충남 논산시 내동,5,7,images/cn/cnimg30.jpg
콤프레샤,"65,000원",충남 천안시 서북구 성정동,16,9,images/cn/cnimg31.jpg
이동식 에어컨,"80,000원",충남 아산시 배방읍,6,4,images/cn/cnimg32.jpg
