item,price,region,like,chat,image
LG제습기,"50,000원",제주 제주시 한림읍,6,44,images/jj/jjimg0.jpg
제습기,"55,000원",제주 서귀포시 동홍동,5,18,images/jj/jjimg1.jpg
위니아제습기8L,"80,000원",제주 서귀포시 상효동,3,14,images/jj/jjimg2.jpg
선풍기,"10,000원",제주 제주시 오라삼동,25,47,images/jj/jjimg3.jpg
미스비시예초기,"50,000원",제주 제주시 애월읍,5,6,images/jj/jjimg4.jpg
세탁기 (25만원 )건조기 (40만원),"400,000원",제주 제주시 노형동,19,8,images/jj/jjimg5.jpg
공방정리 판재 및 공구 판매,,제주 제주시 한림읍,23,16,images/jj/jjimg6.jpg
청소기,"10,000원",제주 서귀포시 성산읍,6,14,images/jj/jjimg7.jpg
한샘 장난감정리함,"15,000원",제주 제주시 일도1동,9,10,images/jj/jjimg8.jpg
선반팔아요,"10,000원",제주 제주시 한림읍,11,3,images/jj/jjimg9.jpg
에어컨 수거해 가실분,"100,000원",제주 제주시 일도2동,4,8,images/jj/jjimg10.jpg
위닉스 제습기 10리터 1등급,"120,000원",제주 제주시 애월읍,2,7,images/jj/jjimg11.jpg
취미 도색용 비틀벅 에어컴프레셔 중고,"20,000원",제주 제주시 삼도1동,22,13,images/jj/jjimg12.jpg
보쉬 전동드릴,"25,000원",제주 제주시 조천읍,3,8,images/jj/jjimg13.jpg
"4,6인용 식탁세트","250,000원",제주 제주시 노형동,19,3,images/jj/jjimg14.jpg
인조잔디사세요.,"30,000원",제주 제주시 이호이동,14,13,images/jj/jjimg15.jpg
식당의자 테이블,"20,000원",제주 서귀포시 안덕면,4,9,images/jj/jjimg16.jpg
쌀 10kg 판매 합니다.,"15,000원",제주 제주시 이도2동,4,2,images/jj/jjimg17.jpg
10인용 압력밥솥,"10,000원",제주 제주시 화북일동,20,40,images/jj/jjimg18.jpg
리챔 참치 세트 팝니다,"20,000원",제주 제주시 도련이동,4,5,images/jj/jjimg19.jpg
대호BMW 푸쉬카,"50,000원",제주 제주시 구좌읍,7,7,images/jj/jjimg20.jpg
식당용 테이블 의자세트 팔아요,"100,000원",제주 서귀포시 효돈동,2,5,images/jj/jjimg21.jpg
진열앵글,"100,000원",제주 제주시 용담2동,7,7,images/jj/jjimg22.jpg
캐리어 제습기,"150,000원",제주 서귀포시 안덕면,3,6,images/jj/jjimg23.jpg
44만원짜리 제습기 17L (건조가능),"290,000원",제주 제주시 화북일동,11,6,images/jj/jjimg24.jpg
14k 로즈골드 목걸이,"100,000원",제주 제주시 일도2동,10,3,images/jj/jjimg25.jpg
카사미아 흔들의자,"50,000원",제주 제주시 애월읍,10,8,images/jj/jjimg26.jpg
S23-512GB 그린 (정상해지),"700,000원",제주 제주시 이도2동,5,6,images/jj/jjimg27.jpg
소베맘 기저귀갈이대 (박스포장),"50,000원",제주 제주시 노형동,2,7,images/jj/jjimg28.jpg
벽걸이에어컨 10평형  고쳐쓰실 분 싸게 넘깁니다,"50,000원",제주 제주시 한림읍,2,5,images/jj/jjimg29.jpg
냉장고,"30,000원",제주 서귀포시 남원읍,3,3,images/jj/jjimg30.jpg
MacBook,"500,000원",제주 서귀포시 법환동,5,5,images/jj/jjimg31.jpg
타일카페트 그레이,"10,000원",제주 서귀포시 대정읍,2,5,images/jj/jjimg32.jpg
