index,item,price,region,like,chat,image
0,위닉스 제습기 (DXAH100-IWK),"70,000원",충남 천안시 서북구 불당동,31,70,https://dnvefa72aowie.cloudfront.net/origin/article/202307/1e5b0d65607d5c56cc67b9d44a32f3e5c70e23c5735029bc4639f32b6a1bd573_0.webp?q=82&s=300x300&t=crop&f=webp
1,샤넬 디올 가방들 정리합니다,100원,부산 해운대구 우제2동,117,71,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cec3d7b305ef6146b933a124fc8a5470a32d36d3a28eebf802a168afd449368a_0.webp?q=82&s=300x300&t=crop&f=webp
2,장마철 제습기 싸게 들여놓으세요,"50,000원",대구 수성구 범어3동,17,33,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c5ae74c68e0da528aff58f028433ad424dcd859b1757aedcf087fa763890835a_0.webp?q=82&s=300x300&t=crop&f=webp
3,제습기,"50,000원",서울 서초구 서초동,9,27,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5ecb089e1ef0745d6f205162c1f7c98db6309c156c5df69f9745467caf50e3b9_0.webp?q=82&s=300x300&t=crop&f=webp
4,냉동고 4년사용,"50,000원",대구 수성구 고산2동,19,18,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ff6d996a9ac781689c8c9e4dd789929ba36dd1f1d4f9846437b6600f0cff41f8_0.webp?q=82&s=300x300&t=crop&f=webp
5,제습기 팝니다,"90,000원",경기도 수원시 영통구 영통동,103,137,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ca30f62cf4b20a7289ab179af4578081dca0fdf07c8c8d9957db3d99790a922a.jpg?q=82&s=300x300&t=crop&f=webp
6,엘지 올레드 티비 상태 S급 65인치,"350,000원",충남 당진시 당진1동,21,18,https://dnvefa72aowie.cloudfront.net/origin/article/202307/33799db10166c66ad0dba4e146c9c1d4e7ca3b665bd3e4e758cdaad7fce983ab.jpg?q=82&s=300x300&t=crop&f=webp
7,위닉스 제습기 12L,"70,000원",경남 거제시 상문동,4,22,https://dnvefa72aowie.cloudfront.net/origin/article/202307/1c0b432e891504b1078f47428cd12358ef30c1979a4900a82b6e6d4885fabc87_0.webp?q=82&s=300x300&t=crop&f=webp
8,LG 제습기,"230,000원",서울 중랑구 면목제3.8동,20,39,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4d3b1ff5f4e1b168c4f4d18129d2d317b2c2897aa79b122460c817d04d8ad4de.webp?q=82&s=300x300&t=crop&f=webp
9,삼성핸드폰 갤S23 새거,"50,000원",경기도 안성시 공도읍,15,65,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5028648e43cb93e42386686eb8aa6049169c646a36789e0b08018d242d284b2d.webp?q=82&s=300x300&t=crop&f=webp
10,가습기50000원 깨끗함작동잘됨,"50,000원",서울 중랑구 면목제7동,4,30,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5b9bf1392681eff8b7c8bbf66d2274c057d33cfd6bc495abf5af38bfb09e2dd4_0.webp?q=82&s=300x300&t=crop&f=webp
