index,item,price,region,like,chat,image
0,샤넬 디올 가방들 정리합니다,100원,부산 해운대구 우제2동,117,71,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cec3d7b305ef6146b933a124fc8a5470a32d36d3a28eebf802a168afd449368a_0.webp?q=82&s=300x300&t=crop&f=webp
1,크록스 새제품팝니다,"28,000원",부산 기장군 정관읍,14,39,https://dnvefa72aowie.cloudfront.net/origin/article/202307/6ce5abf631ae96117132aa396c50e47b22d7a62910a34fa9be60e4112ed983dc_0.webp?q=82&s=300x300&t=crop&f=webp
2,위닉스 제습기 팔아요!,"220,000원",부산 부산진구 범천제1동,10,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b986e62ca5277053651728db99e969ce1da5cb493c4bc175607ffba064c2adc5_0.webp?q=82&s=300x300&t=crop&f=webp
3,고장난 위닉스 뽀송 제습기,"50,000원",부산 서구 동대신제3동,3,24,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5e25c915fc42ae4ec6e508fbc4afad78c89a10e1d8229adef619f4116d4cf5dd_0.webp?q=82&s=300x300&t=crop&f=webp
4,베트남 동팝니다(239만동),"130,000원",부산 수영구 수영동,4,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ca51555550814a389fd7b7bf50596ff1028733befce66f01a8e100e8f04b7b91_0.webp?q=82&s=300x300&t=crop&f=webp
5,"이사가면서 가전정리합니다(세탁기,장농 밥솥장 건조기)","30,000원",부산 수영구 망미제2동,21,24,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d229887148e6bb135c0bb35eb19830697c60e9b85e55ccd6c258fac37f90e409.webp?q=82&s=300x300&t=crop&f=webp
6,보아르 제습기,"50,000원",부산 부산진구 범천동,8,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/13a0a9746e6f1981f1d90aa6faf116e5d92722ca4132efa62676df4c9c42f6c4.jpg?q=82&s=300x300&t=crop&f=webp
7,위닉스 제습기 17L,"170,000원",부산 수영구 남천제2동,11,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ed1335e428c2fdad198186640ec8aa0144abdad879ddd0ffce3cb86891833c20_0.webp?q=82&s=300x300&t=crop&f=webp
8,헌터 레인부츠,"160,000원",부산 남구 대연제1동,17,21,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7861a6b2779bfb6b5c0eb0421d90439cfaf6145a210c0fee428db33d46f3b28f.jpg?q=82&s=300x300&t=crop&f=webp
9,쿠쿠제습기겸공기청정기 팝니다,"100,000원",부산 서구 서대신제4동,8,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7f699334568ed48d02a0921820dbae01ba88ae995f0adc59aae49bd5e9b93863_0.webp?q=82&s=300x300&t=crop&f=webp
