index,item,price,region,like,chat,image
0,장마철 제습기 싸게 들여놓으세요,"50,000원",대구 수성구 범어3동,17,33,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c5ae74c68e0da528aff58f028433ad424dcd859b1757aedcf087fa763890835a_0.webp?q=82&s=300x300&t=crop&f=webp
1,냉동고 4년사용,"50,000원",대구 수성구 고산2동,19,18,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ff6d996a9ac781689c8c9e4dd789929ba36dd1f1d4f9846437b6600f0cff41f8_0.webp?q=82&s=300x300&t=crop&f=webp
2,제습기,"50,000원",대구 북구 대현동,6,19,https://dnvefa72aowie.cloudfront.net/origin/article/202307/da70fb62f289ed0af40f4970bd81455b0f0c2bbde591a9396320758c1c78c20e_0.webp?q=82&s=300x300&t=crop&f=webp
3,위닉스제습기,"70,000원",대구 북구 침산3동,8,20,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e0c6d1fd709e456fa9d4039c3fe8ceb7333aceb57864903c4f4fbdb8788731be_0.webp?q=82&s=300x300&t=crop&f=webp
4,캣타워,"10,000원",대구 남구 대명동,13,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8c34ec66baceeb71c3e649eb1deb0fd5ec38a756974771a5f86f439ec85f90b1.jpg?q=82&s=300x300&t=crop&f=webp
5,갤럭시 A90,"55,000원",대구 달서구 송현동,25,34,https://dnvefa72aowie.cloudfront.net/origin/article/202307/18f4c25b8808dcb5d3d46db9b57664d52c05018cf19eb3f9f326b80430fbefdf_0.webp?q=82&s=300x300&t=crop&f=webp
6,저진짜 돈이 급합니다 ㅠㅠ(세트형 구매),"440,000원",대구 북구 국우동,4,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5b67e8b914beb9d01d0af116a4f20f4932df4cfc135affb7779dead36e3afb10_0.webp?q=82&s=300x300&t=crop&f=webp
7,18k 팔찌,"25,000원",대구 달서구 송현동,28,37,https://dnvefa72aowie.cloudfront.net/origin/article/202307/24ea3e1d04e8d6345c151619db959ec41907af47211cdd72cdce7fa35100b717_0.webp?q=82&s=300x300&t=crop&f=webp
8,다용도선반,"10,000원",대구 달서구 두류1.2동,4,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/88298f15814eff03f4a555e9defd9f0a0c542faa4cbff85940ba4ade38c5ac96_0.webp?q=82&s=300x300&t=crop&f=webp
9,엘지공기청정기,"130,000원",대구 동구 신암3동,21,27,https://dnvefa72aowie.cloudfront.net/origin/article/202307/06c757d8e0a5d69ec5ae1ce4b275de5bcd5dddec4edf6db8efb57199909e9e0c_0.webp?q=82&s=300x300&t=crop&f=webp
10,철제 4단 선반 팝니다,"5,000원",대구 달성군 옥포읍,6,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/55199961f472470d24cf8ae64e28876116076805aa33264b3e08a3289a25e772_0.webp?q=82&s=300x300&t=crop&f=webp
11,디올 헤어미스트,"5,000원",대구 동구 율하동,7,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/549088352e690aa068b6887f20db88f7a2d119b6953d4e9d3972ac96f164b49d_0.webp?q=82&s=300x300&t=crop&f=webp
12,베트남 동,"56,000원",대구 달서구 이곡1동,1,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4c1bb78ef2e63df91355bb8b4b39d0c4d45e6f884a13be271c82edf3f59d1450_0.webp?q=82&s=300x300&t=crop&f=webp
13,코렐 그릇,"50,000원",대구 수성구 범어동,8,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/404021cbcb3f7373b30cccb82cbc9696c41cedd39c1f5d6bab7c70497b5a9e87_0.webp?q=82&s=300x300&t=crop&f=webp
14,보테가 남성벨트 36~40,"70,000원",대구 수성구 범어동,7,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7160e76eea31bd27f5c18ae19c483ef821aceb7cd60e4899711b465be8f3977b_0.webp?q=82&s=300x300&t=crop&f=webp
15,코렐 냉면기 새상품,"8,000원",대구 수성구 지산2동,24,21,https://dnvefa72aowie.cloudfront.net/origin/article/202307/05540c16d32c21dfe879a52763f3764e06bd713dde61183a8f8954285723d200_0.webp?q=82&s=300x300&t=crop&f=webp
16,에어컴프레샤 판매합니다.,"70,000원",대구 서구 내당동,6,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/3c97379145bff54ea9c4b65e46c3ce88eb1751c927d3939156b34729917ca29e.jpg?q=82&s=300x300&t=crop&f=webp
17,펜디 셀러리아 시계,"70,000원",대구 동구 신암2동,11,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b472d3059515c2d62327d29f5d5fddbead7150e171a635796dfa231591f2dc37_0.webp?q=82&s=300x300&t=crop&f=webp
18,원목 캣타워 팝니다,"20,000원",대구 동구 신천3동,5,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/db00ff6a475f90c6bbf16e69844084ce1dbd2c75fdc17278b15eba5be468b0fb.jpg?q=82&s=300x300&t=crop&f=webp
19,삼성 통돌이 세탁기,"70,000원",대구 남구 봉덕2동,4,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/99d95b82d78959690134204ce6876205b016ba48733cf845dc5ea1c066abb40c.jpg?q=82&s=300x300&t=crop&f=webp
20,3단 파티션(화이트원목),"25,000원",대구 수성구 신매동,9,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d2896b463501a2935c4e18310c8a6b29a9322be9024717e24eea1f4464a32bc7_0.webp?q=82&s=300x300&t=crop&f=webp
21,선풍기 써큘레이터,"5,000원",대구 동구 신암2동,8,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/39196d8813be9100581bd42326aa6cfee3dc86a0c5a79e0f20c00675ba8761e0_0.webp?q=82&s=300x300&t=crop&f=webp
22,소베맘 기저귀갈이대,"30,000원",대구 동구 효목동,7,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/0fae7b315ec90a7b5116e35b684d589e87d07e6cd60dd3794907be60e36039dd.jpg?q=82&s=300x300&t=crop&f=webp
23,냉장고 팝니다(관리 상태 양호),"90,000원",대구 중구 대봉동,3,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/472de4086cee347d6fddb202f3f15018f884687cd97ff39771fcec9082296dfa.jpg?q=82&s=300x300&t=crop&f=webp
24,식물 원가이하 정리 합니다 50프로,333원,대구 수성구 만촌동,5,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/17887fffa3983487be4a546db3c3672bf4b571f5dcd6fc2dfd95ae0769805c5a.jpg?q=82&s=300x300&t=crop&f=webp
25,양문형냉장고,"200,000원",대구 수성구 수성4가동,5,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c126634ba3d97f2cefd73a72c7cbe6f7fc930dae41cb8a0849fb02d637ceceee_0.webp?q=82&s=300x300&t=crop&f=webp
26,삼성 냉장고,"100,000원",대구 달서구 용산동,0,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/eff547b9302ba64f147881fdcdee52dcd4b36cba16b262e52d3782c62609ff56.jpg?q=82&s=300x300&t=crop&f=webp
27,벌꿀,"25,000원",대구 달서구 용산2동,4,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a49f7ffa5797b5dba5657ae920ef5ac2d73a995fd24b8dfef8712c8b64f7b366.webp?q=82&s=300x300&t=crop&f=webp
28,삼성 갤럭시 와이드4 골드 A급 휴대폰 팔아요,"30,000원",대구 달성군 화원읍,6,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5e3d0075b42448da4c718554cd7d8fe56f5c322158b529890168c5a38cd824c0.jpg?q=82&s=300x300&t=crop&f=webp
29,전자레인지,"10,000원",대구 수성구 범어1동,2,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a2b8f34d43d7965fe36e786755c1485ec9ab86e3f361ce228f4102429296a0f5.jpg?q=82&s=300x300&t=crop&f=webp
30,이케아 철제 수납장(캐비넷수납장),"5,000원",대구 중구 교동,6,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/637f533bc05f7c8c41b76ff3f160272d52d2b4a9df8653dc959ce87a35045293.jpg?q=82&s=300x300&t=crop&f=webp
31,아이폰 12 pro 128 퍼시픽 블루 뒷면 파손,"400,000원",대구 북구 복현1동,1,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b6b57ff62d748f802494e545496c325ec2483c70b0bce7a19ad9334a6507ccb4.jpg?q=82&s=300x300&t=crop&f=webp
32,테이블 의자3,나눔🧡,대구 수성구 지산동,14,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4ff14c231aebc54a2917cd6985bf7d26ab8596bf3b8817bb850260f142a60467.jpg?q=82&s=300x300&t=crop&f=webp
33,아이폰 12 그린,"350,000원",대구 달서구 두류3동,3,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/537fa90e5f03f762ba27564d9fdae390b9eeb5fa7edf8afeb6de007b14d82ce0.jpg?q=82&s=300x300&t=crop&f=webp
34,카누커피,"18,000원",대구 달성군 화원읍,8,19,https://dnvefa72aowie.cloudfront.net/origin/article/202307/3b874d516610ab984f4da6d2006e23b6495a19a39900761a14a41d61be733457_0.webp?q=82&s=300x300&t=crop&f=webp
35,힐튼 경주 1박 조식2인 수영장 포함,"150,000원",대구 달성군 다사읍,22,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f685c5cad0dd8c296f203934d41e601e3ddf0fd5c97a463f6151c5b95f90abc5.jpg?q=82&s=300x300&t=crop&f=webp
36,갤럭시 노트8,"30,000원",대구 달서구 송현동,10,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/442a9f9ac49e45ea739db68b326453346e872ae6613976e1010cbffbb817c34e_0.webp?q=82&s=300x300&t=crop&f=webp
37,파파야나인 푸쉬카 (캐노피포함),"25,000원",대구 달서구 상인1동,8,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/fffd46e51f4ef15595dd1e3de4c492f98e7fb8e3e2ca89aaecda5df7ae75fc0f.jpg?q=82&s=300x300&t=crop&f=webp
38,노브랜드 짜장라면 유통기간 임박 판매,"7,000원",대구 서구 내당4동,3,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ec27d494c167bf8b43fac483101a7988bc0c417b90c815f986e18da6abf68540_0.webp?q=82&s=300x300&t=crop&f=webp
39,이케아 선반,"20,000원",대구 달서구 두류3동,33,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c787eaf2dad7358ea81dac99871b670555a2a33dbfc3b332127812dbf9de6082_0.webp?q=82&s=300x300&t=crop&f=webp
40,마이크로퀵보드(맥시),"35,000원",대구 북구 침산2동,4,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b99907deb5bde0e9555a723f398caab0f5cd5f7e2560765a0555af21be053987.jpg?q=82&s=300x300&t=crop&f=webp
41,사진에 보이는거 전부 판매,"140,000원",대구 남구 대명2동,19,19,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cdb4dfc226b0cf7d69cf71755ef6ba9b224b85248a2cc5dc1ba90c681582c58a.jpg?q=82&s=300x300&t=crop&f=webp
42,'스톤아일랜드'로고와펜 PK셔츠,"45,000원",대구 수성구 범어3동,8,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2ec24b7c1350b61e4a81e8ede81afd74cf4f3f8c61d0399583ff24770698acf7_0.webp?q=82&s=300x300&t=crop&f=webp
43,65인치tv,"50,000원",대구 남구 봉덕3동,4,2,https://dnvefa72aowie.cloudfront.net/origin/article/202307/9dc345f335e3d669ca0204d9bafa922d50082d3d78a2ece27f9e94c2fecf0318_0.webp?q=82&s=300x300&t=crop&f=webp
44,이사 가서 다 팔아요,"20,000원",대구 수성구 범어2동,16,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/50d59fa4e4c05676e5646a1767030f710159b40c85068a43b878435d667f48d4.jpg?q=82&s=300x300&t=crop&f=webp
