index,item,price,region,like,chat,image
0,자이언트 자전거 팝니다,"50,000원",대전 동구 성남동,9,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c4c99b5270c3c74ddeadeb9d6bd10ece928830a7e80ba980e21528cba356bf2f.webp?q=82&s=300x300&t=crop&f=webp
1,이사가는데 물품 정리 합니다,"1,000원",대전 서구 둔산동,16,62,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f1ba4ef95b15508c79aa5bf2c398e651a53710220f46bfb57b769fae48012bdd.jpg?q=82&s=300x300&t=crop&f=webp
2,메종키츠네 반팔 카라티 L 포장만 뜯은 것 팝니다!,"30,000원",대전 서구 도안동,6,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/942b292378a121de780094b0591ef2ef5e079b34109490d98731cd26111a24d8.jpg?q=82&s=300x300&t=crop&f=webp
3,갤럭시워치4 40mm 팔아요 (99%새것),"80,000원",대전 서구 괴정동,11,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/3e9bd49b3c13ba9a9b924ab15f21fa730574b0221345e536b4bbbebcb9050f98.jpg?q=82&s=300x300&t=crop&f=webp
4,먹태깡,"3,500원",대전 서구 내동,1,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b1bb29cfb670c95153965ccac54159b620084c56cbc94c944012bf380a6bed66.jpg?q=82&s=300x300&t=crop&f=webp
5,위닉스 제습기 12L,"160,000원",대전 서구 둔산동,6,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/6ed8e31ad8dd90c4a8c16760f9c0fc73a831676d58d0c062a31ce3f970b194e3.jpg?q=82&s=300x300&t=crop&f=webp
6,제습기 위닉스dxae100 판매,"100,000원",대전 유성구 전민동,6,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/36addaf8a5420d74c59fa10852e1b4d57fe8683e8d22ae34cd75d0332a8361e8_0.webp?q=82&s=300x300&t=crop&f=webp
7,어뉴 골프 벨트 팔아요!,,대전 유성구 온천1동,8,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a72d75c16e9fd5e9721790325c9e77027fc7106fe03f54a088bd2f31fbb0ce03.webp?q=82&s=300x300&t=crop&f=webp
8,제습기,"100,000원",대전 서구 갈마1동,8,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/558530dfce370e0421b0a67d6640c96ebc3a7da80677c27c76cd8cdbba355c3c.webp?q=82&s=300x300&t=crop&f=webp
9,14k반지,"19,000원",대전 서구 탄방동,53,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e4994bf0f6e1b8ea83d6bd6138239626cf07f07dbf60465bc3a695b3800099f7_0.webp?q=82&s=300x300&t=crop&f=webp
