index,item,price,region,like,chat,image
0,냉장고,"70,000원",광주 북구 오치동,10,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ba37f08dea5c8ed89199b2d18a842f9fa6e63e3567c34dc63a25ecd98d6c388a_0.webp?q=82&s=300x300&t=crop&f=webp
1,선풍기,"5,000원",광주 광산구 첨단1동,25,49,https://dnvefa72aowie.cloudfront.net/origin/article/202307/53f3b50ab74e2bdd379c0bb761db90cab8626822cbc4638f6e09109f968921ed_0.webp?q=82&s=300x300&t=crop&f=webp
2,리클라이너 소파,"200,000원",광주 광산구 운남동,12,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/563b9473983af170277bf77f9fcac4a9d7ab5ee1504b98d888306363adf83f86.jpg?q=82&s=300x300&t=crop&f=webp
3,풍년 압력밥솥,"30,000원",광주 서구 내방동,4,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/240b87c7b4e12282357e053c58bc7cdaf9460064e00daa98caac7f0756059895.jpg?q=82&s=300x300&t=crop&f=webp
4,베트남 동 판매합니다,"210,000원",광주 서구 치평동,3,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5eb88a2bf2a10fdd67c88ec394739f285a99f222e8d542d9ec98a1d5fe53ae59.jpg?q=82&s=300x300&t=crop&f=webp
5,미닛뮤트 실버,"30,000원",광주 서구 쌍촌동,22,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b18596b717c68e4f16e4c480bd7ccb97107dffadca7f5311f001f84d61b4f970.jpg?q=82&s=300x300&t=crop&f=webp
6,제습기 판매,"40,000원",광주 남구 월산4동,4,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/eae2a72ef302acf10de8d3d4c4f0804aa5aec96d16047b67565bcd8eb1a3a8db.jpg?q=82&s=300x300&t=crop&f=webp
7,JMW 드라이기,"5,000원",광주 북구 양산동,5,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d59257b55ca4160572431f46ccf03eb45e2e424b91f41c18424e4eb82c210472.jpg?q=82&s=300x300&t=crop&f=webp
8,klasse 냉장고 급처,"10,000원",광주 북구 매곡동,2,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/3e5bc9d56d12135e7d0b0683d552c0234113056421a35b7d56683c336270f7ac.jpg?q=82&s=300x300&t=crop&f=webp
9,미니건조기,"70,000원",광주 서구 내방동,11,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/355eb6d8afa6427ff59b11023010a63fdca764728f4060e1e04c09846600e40f.jpg?q=82&s=300x300&t=crop&f=webp
10,10kg세탁기,"50,000원",광주 북구 중흥동,1,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cd396937214a3732fc64bab0fbbb2b5ff08a448198c799106ccf16d53d789690_0.webp?q=82&s=300x300&t=crop&f=webp
11,냉장고,"180,000원",광주 서구 치평동,16,30,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8dfe417aff40a631a0b1ee9b12f6e3d451f6d7e070953f38181145352cf305cd_0.webp?q=82&s=300x300&t=crop&f=webp
12,s21 + 팝니다,"250,000원",광주 북구 일곡동,4,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/10c76752aeb5a9a31ff110a3c6feb4ccadb0fa0502176795597f94e475b36305_0.webp?q=82&s=300x300&t=crop&f=webp
