index,item,price,region,like,chat,image
0,엘지 제습기 휘센(예약중),"100,000원",인천 서구 마전동,10,22,https://dnvefa72aowie.cloudfront.net/origin/article/202307/27ef1ad9a70d2190912e2ebcfba3b431ffd8d253ff96fce26737321ed95c23ef_0.webp?q=82&s=300x300&t=crop&f=webp
1,성능좋은 사무실 냉장고,"30,000원",인천 서구 청라1동,20,38,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e99a24a19b1b2dada59d572c3a663ffb3429d43ef560ed7c237faa88ae8e8fbb_0.webp?q=82&s=300x300&t=crop&f=webp
2,매장정리합니다.,"1,000원","인천 연수구 송도동 월드마크 1,2 단지",16,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b0ff2d5f799d2dbcf83b3439f1c0121411ec981909cd91e866fecc8b3c35831f_6.webp?q=82&s=300x300&t=crop&f=webp
3,남성 반지갑 새거,"50,000원",인천 연수구 송도5동,11,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/81b2ff0c9d19fc83f562d4e44553224fa0ec2acb10f0ea33d28814338d364e8d_0.webp?q=82&s=300x300&t=crop&f=webp
4,신세계 상품권 30만원 판매 합니다,"270,000원",인천 부평구 청천1동,2,16,https://dnvefa72aowie.cloudfront.net/origin/article/202307/76045334a52cabadb00906a54cdad7dc7f49008bb6bf9feb511aa79cda5ce692_0.webp?q=82&s=300x300&t=crop&f=webp
5,위닉스제습기 판매합니다,"30,000원","인천 미추홀구 도화2,3동",5,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/20a08a741864dfcc87182ac2f56e6c8f56a24558f95c5f2bc89ace981240e071_0.webp?q=82&s=300x300&t=crop&f=webp
6,낚시 접어요...,1억원,인천 미추홀구 숭의2동,5,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7b46dda6c01a96ff35cc103d3679048fb07a6237dce890fd405b51391f39f0da_0.webp?q=82&s=300x300&t=crop&f=webp
7,Haier 냉장고 저렴하게 팝니다!,"50,000원",인천 중구 운서동,0,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/1c66401966d6d6a037c570f909c95a46abb290deb4277a94ae78ba23edf71289.jpg?q=82&s=300x300&t=crop&f=webp
8,마끼다 18V 배터리,"30,000원",인천 남동구 간석2동,4,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/6dd0926f2a0c0d35f487eace98acbd8cba4ce0b079c90273ae870fca7296ac4e_0.webp?q=82&s=300x300&t=crop&f=webp
9,차박텐트,"10,000원",인천 부평구 청천1동,11,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/382e5174095d176b19e288463af3be962df9b69d399cc192c8054f42b9e9c836_0.webp?q=82&s=300x300&t=crop&f=webp
10,제습기,"100,000원",인천 중구 중산동,14,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/0637c09b715edf9e60e5c3c9ea48bcb81cf9711e13be48cdea04aae76682c569_0.webp?q=82&s=300x300&t=crop&f=webp
11,플립2 화이트 *정상해지*,"100,000원",인천 미추홀구 주안8동,5,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/45e347eac56d362ea5ef05b70d79e3d92dcd06e1949b30d33f6a5d952e4f0992.jpg?q=82&s=300x300&t=crop&f=webp
12,냉장고~ 팝니다,"50,000원",인천 서구 검암경서동,5,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/499e0150dad8fc46509656d2b7eaef751d36c7f19a6438ab1972ae5e55f9bf6c.jpg?q=82&s=300x300&t=crop&f=webp
13,lg냉장고,"50,000원",인천 서구 당하동,6,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/A2DE257910D9E84E8672D056A8ADAD39F30C4047BC5C3D8F5DE0B19C66254936.jpg?q=82&s=300x300&t=crop&f=webp
