index,item,price,region,like,chat,image
0,나이키 운동화,"10,000원",세종시  다정동,9,48,https://dnvefa72aowie.cloudfront.net/origin/article/202307/6954139ed3bb718eb209626f2b4848cac97b1f501768ebc038073595327e0048_0.webp?q=82&s=300x300&t=crop&f=webp
1,이케아 트롤리 철제카트,"10,000원",세종시  고운동,5,15,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2afb713ea54fa5a4cff868c8aa3ed4d7c3bc52ff2b92f11760330fee0cd05c42.jpg?q=82&s=300x300&t=crop&f=webp
2,애플워치6 44mm,"180,000원",세종시  새롬동,15,25,https://dnvefa72aowie.cloudfront.net/origin/article/202307/828d1c8d397ee8b9aa1d13f3bbc8753865f039740333c0975c643b81011b18eb.jpg?q=82&s=300x300&t=crop&f=webp
3,금팔찌,"320,000원",세종시  연동면,2,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c04cbbdef3892f586fa89cf654ac074a7155e37c6d4109a84de8a4b5e58a9462_0.webp?q=82&s=300x300&t=crop&f=webp
4,바네스데코 콘솔 서랍장ㅡ가져다드려요,"100,000원",세종시  아름동,9,2,https://dnvefa72aowie.cloudfront.net/origin/article/202307/fb2df86734efdacfc55e3e814cc62381902be752bca9bd90bb18768e9b4d2104_0.webp?q=82&s=300x300&t=crop&f=webp
5,키높은 선풍기 만원,"10,000원",세종시  대평동,5,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ee4b08e38d9accf2fdb8dabf0aa0bf9a53beeec7d363e99c52d4f4bff89a1863_0.webp?q=82&s=300x300&t=crop&f=webp
6,루이비통 남성 모노그램 체인 팔찌 써지컬,"95,000원",세종시  조치원읍,15,23,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e791c574303bb2cb1153fdc20ab14a68ea9676b7c60d95933984edbdf1c2a004.webp?q=82&s=300x300&t=crop&f=webp
7,아이폰12 미니 64기가,"230,000원",세종시  아름동,10,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/29bd2d7e9ad13a3c36d5cda67d946103eccdd3e9371d137cf3787cd3afc994aa_0.webp?q=82&s=300x300&t=crop&f=webp
8,LG TV 50LB6780,"10,000원",세종시  나성동,1,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4e1f36075b1a645b23a50346b7fe2e572ef72fd3edd7cebf69c2c62b9aede01c_0.webp?q=82&s=300x300&t=crop&f=webp
9,새것 ~~~만원,"10,000원",세종시  고운동,3,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/522b9168cb4bb6bbe1bb12a73ac28877a61cce377dc691cc513a7c18bbd3103a.jpg?q=82&s=300x300&t=crop&f=webp
10,각종 보드게임 팝니다,"5,000원",세종시  도담동,9,22,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f6e4e71b9f9d1fd8ab30ff245e2491217167a3f3ce816bbd7c0924010f518588.jpg?q=82&s=300x300&t=crop&f=webp
11,커피자판기팔아요,"100,000원",세종시  연동면,4,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a80a076e49ea9cb3febde18a2b63425e73049fd5d9ba1253d5cd9179b00177ec_0.webp?q=82&s=300x300&t=crop&f=webp
12,골프채 가방포함 팔아요,"180,000원",세종시  고운동,5,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/fafe55b193a341a19527b344612f297f91ac40693fa683a12ae421aedb044ff3.webp?q=82&s=300x300&t=crop&f=webp
13,필페소 44800  네이버시세로 팝니다,1원,세종시  소담동,0,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2254c3963e86b233c69403ca8afda3fd97da33bdc06997f22c50bb2251c648fd_0.webp?q=82&s=300x300&t=crop&f=webp
14,베이비젠 요요+ 6+ 올블랙,"100,000원",세종시  새롬동,9,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/40ccaf8b49332d40bab2798c3c73818707c7e788fe839ff36b2bfcf0b03b0479.jpg?q=82&s=300x300&t=crop&f=webp
15,성인용 자전거 바람넣고 타시면 되요,"30,000원",세종시  고운동,3,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d1fdbd0981973fd79a37d086ea5fd101d127fa599a14172c87481c64d227e103.jpg?q=82&s=300x300&t=crop&f=webp
16,소베맘 기저귀 갈이대,"15,000원",세종시  도담동,1,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/af238595d390bb57f54881959d9ca558317996733bafbf6d6113658524b6aeb8_0.webp?q=82&s=300x300&t=crop&f=webp
17,세이펜 SBS-1000 32기가,"60,000원",세종시  나성동,6,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/47e40c41a77c44deb23afc9b56d5da487d5ad44d424ed3449b4cb559d9211471.jpg?q=82&s=300x300&t=crop&f=webp
