index,item,price,region,like,chat,image
0,제습기,"50,000원",서울 서초구 서초동,9,27,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5ecb089e1ef0745d6f205162c1f7c98db6309c156c5df69f9745467caf50e3b9_0.webp?q=82&s=300x300&t=crop&f=webp
1,LG 제습기,"230,000원",서울 중랑구 면목제3.8동,21,39,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4d3b1ff5f4e1b168c4f4d18129d2d317b2c2897aa79b122460c817d04d8ad4de.webp?q=82&s=300x300&t=crop&f=webp
2,가습기50000원 깨끗함작동잘됨,"50,000원",서울 중랑구 면목제7동,4,30,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5b9bf1392681eff8b7c8bbf66d2274c057d33cfd6bc495abf5af38bfb09e2dd4_0.webp?q=82&s=300x300&t=crop&f=webp
3,위닉스 제습기,"20,000원",서울 도봉구 창제1동,7,17,https://dnvefa72aowie.cloudfront.net/origin/article/202307/bcfe580c46454a545bd6e9f5a3754acfd110b2025f6e6b2a4a15adbe7d996f2e.jpg?q=82&s=300x300&t=crop&f=webp
4,샤넬 디올 가방들 정리합니다,100원,서울 강남구 신사동,92,49,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7cb73a8ca6280634bfbb270368efe3faa5378c0ae4225acaf0cdac6d6876f602_0.webp?q=82&s=300x300&t=crop&f=webp
5,"이민 및 이사 정리 (책상, 침대, 식탁, 소파, 식기세척기, 공기청정기, 매거진랙, 티비다이, 의자 등)","100,000원",서울 동대문구 휘경제1동,33,27,https://dnvefa72aowie.cloudfront.net/origin/article/202307/dddc69ec1387b23e587937d8d50983c7fba1ca5a5d4ce4e181f04816afd6c8b8.jpg?q=82&s=300x300&t=crop&f=webp
6,보쉬 전동드릴,"50,000원",서울 양천구 목1동,16,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/314220b488383fcd0913d65470c9249ae9b3507b568c54aa1df2a46c1e17eed6_0.webp?q=82&s=300x300&t=crop&f=webp
7,다이슨. 드라이기,"150,000원",서울 동대문구 장안동,13,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c4a70ebe6c4587ca76d388eb6e56fe5e69af8307fb34695cef6ac461a66e97d8_0.webp?q=82&s=300x300&t=crop&f=webp
8,시디즈 체어 t50,"30,000원",서울 용산구 한남동,15,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ddb39bf14243b235b3d1d2bbeeae0a8a0887299c3c59aa90884f92c7654e2a84.jpg?q=82&s=300x300&t=crop&f=webp
9,급해요 ㅜㅜㅜ,1원,서울 노원구 상계10동,2,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/35259e3ae73b3923a9201f1c646bc838e5c598ff3fb2744f93a92ba40ba8019a.jpg?q=82&s=300x300&t=crop&f=webp
