index,item,price,region,like,chat,image
0,울산서머페스티벌 티켓 양도,12원,울산 북구 염포동,1,17,https://dnvefa72aowie.cloudfront.net/origin/article/202307/1b9f34bc5a560ba4999485f33e0b35c40cf37951e51ed89f3961d836e155f22b_0.webp?q=82&s=300x300&t=crop&f=webp
1,명품 다 정리합니다,999만 9999원,울산 울주군 범서읍,13,35,https://dnvefa72aowie.cloudfront.net/origin/article/202307/46a45041684d3cf2077e214d863d81bd2ee439a3ecf1adb0a3e467d0ca8485a0.jpg?q=82&s=300x300&t=crop&f=webp
2,가게 정리합니다,"1,000원",울산 울주군 범서읍,7,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b1419b94e9afcc8be47123ff36cc7179f97260fdf8007420efc5880e95f969d4.jpg?q=82&s=300x300&t=crop&f=webp
3,먹태깡 정가판매해요,"1,700원",울산 남구 옥동,5,18,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7a73d2ccd613172e1095f2187d74e3b2028d504695e009b1dd52cd78def30c61_0.webp?q=82&s=300x300&t=crop&f=webp
4,명품 다 정리합니다,1000만원,울산 울주군 범서읍,15,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8a735932ef6d066fc55de2cb09278fc6ad38492d717da2c4ef88ecb2bf910312.jpg?q=82&s=300x300&t=crop&f=webp
5,웅진 케어스 제습기 15L,"60,000원",울산 중구 학성동,3,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/da313631ae1bfc437776f5b0a7cfc15fdc6292323b3985f2f4fa4415936f516e_0.webp?q=82&s=300x300&t=crop&f=webp
6,냉장고 팝니다!,"70,000원",울산 북구 화봉동,6,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/801a270c5c6929bccf0bdd3df0b4ff08993532687f09480a74dbd02149b05338.jpg?q=82&s=300x300&t=crop&f=webp
7,이케아 철제 이동식서랍,"10,000원",울산 남구 삼산동,13,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2ebe88b04893d99858cbaf60e44bb6736f217d8a6f68f9cd410bac397201ccf9.jpg?q=82&s=300x300&t=crop&f=webp
8,펜션숙박권,"159,000원",울산 남구 달동,26,15,https://dnvefa72aowie.cloudfront.net/origin/article/202307/64baf10b43244e9ffcabdd8abc2dea5b9e995326738106ada794167a40fc1c8b.jpg?q=82&s=300x300&t=crop&f=webp
9,삼성 제습기 거의 사용 안함,"100,000원",울산 남구 삼산동,8,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/63b1d920e8ded4585e3a0982bd43551269e7a59e7a23de39e0377bd8e138e340_0.webp?q=82&s=300x300&t=crop&f=webp
10,철제선반 펜트리 득템하세여,"10,000원",울산 중구 약사동,7,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/94213d3c18e59401320fa19cd338de06bf4bfeb5c841088cece4b8dcd81e7b87.jpg?q=82&s=300x300&t=crop&f=webp
11,LG 스마트UHD TV 팝니다 (49ub8300),"50,000원",울산 동구 서부동,6,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/10aba1554b3221b9359163a9f35b3683e91c3257f72b828f84916c5c12777688_0.webp?q=82&s=300x300&t=crop&f=webp
12,모토벨로 전기자전거 팝니다. 빨리오시는분 우선 판매,"170,000원",울산 남구 달동,14,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/aaa44b827f50918956e76b46d0aaa52041650be5b6fbb4cd663341b9e00ef70f_0.webp?q=82&s=300x300&t=crop&f=webp
13,선풍기 판매,"5,000원",울산 중구 반구동,6,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/fa2226b7037ccf006ab41b11bf78c1b03d0983a4705f9d797708631599a9a2c9_0.webp?q=82&s=300x300&t=crop&f=webp
14,타보 휴대용 유모차,"1,000원",울산 북구 화봉동,3,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a0d068291709edd69689e9c5b21ba1ba933fde1f20dd57dbb642edfbc38b8010.jpg?q=82&s=300x300&t=crop&f=webp
15,명품 다 정리합니다,999만 9999원,울산 울주군 온산읍,12,22,https://dnvefa72aowie.cloudfront.net/origin/article/202307/533a56968b2fc097d510fad66533ce13e3dc0ffc02c9c43b2a5ec20b152eee0c.jpg?q=82&s=300x300&t=crop&f=webp
16,LG led tv 55인치,"100,000원",울산 남구 신정동,5,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ceeda7fad931e5c1ffd283873ca376e7a07ebe2f1bb4b21e8ef9c009d3c45e5e.jpg?q=82&s=300x300&t=crop&f=webp
17,크록스 올터레인 정품 새상품,"43,000원",울산 남구 야음동,11,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/17f7a63c00dea488d1ff333763b4a4ec953b4b635fada14f9f550340ba7c713b_0.webp?q=82&s=300x300&t=crop&f=webp
18,제습기,"10,000원",울산 북구 농소2동,3,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/37885eb08c75c96eb0f78483bd13a943de207392ed29c6b52e9370e29ace253a.webp?q=82&s=300x300&t=crop&f=webp
19,이케아 3단 트롤리,"15,000원",울산 남구 신정3동,4,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/0dd7072ea19e6737e36eacb7905faf2e9c6fe47d7a81f031b206a3bf11c8c45c_0.webp?q=82&s=300x300&t=crop&f=webp
20,주민증 주웠어요,1원,울산 울주군 범서읍,0,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b93313c2d3b1f9e2f8a84c80f2871c96f4c129479eb6ef39f456d9a9906431ca.webp?q=82&s=300x300&t=crop&f=webp
21,냉난방기 입식,"300,000원",울산 남구 무거동,5,15,https://dnvefa72aowie.cloudfront.net/origin/article/202307/39985179620b76fd20676014a72ef4590c49c06236f96fe3c3038df9f0daa9ad_0.webp?q=82&s=300x300&t=crop&f=webp
22,여자 디스커버리 래쉬가드,"10,000원",울산 울주군 청량읍,9,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/89859fcb369a3758f745f4380458baca4abbbcf58b806e02ca73ac84687df15d.webp?q=82&s=300x300&t=crop&f=webp
23,"2년된 중고 세탁기,  냉장고팝니다","100,000원",울산 북구 염포동,2,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7c358aa347f9b8df4da7f2b2d24351d3ba62f0a40d30ac71acb363e04c46c3cd_0.webp?q=82&s=300x300&t=crop&f=webp
24,창문형에어컨,"100,000원",울산 남구 삼산동,2,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/dc57ffc7f41402bc398672bf74261430bedb71702531f0d8df4b0614fa2a31a6_0.webp?q=82&s=300x300&t=crop&f=webp
25,삼성 무풍 에어컨 팝니다,"500,000원",울산 북구 염포동,1,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e165da086d702a93af6265e3b6a8d02f10b62c3c11140f00035c048847be7110_0.webp?q=82&s=300x300&t=crop&f=webp
26,위닉스 제습기(10L)팝니다,"70,000원",울산 중구 유곡동,4,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2ab1f5b2471ad891c118731fa60f8673b41496b0770fbf29b7973cb61c9714d2_0.webp?q=82&s=300x300&t=crop&f=webp
27,위닉스 제습기,"50,000원",울산 북구 농소3동,4,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e2b762757ca7bd0d1fefd867ba7104d284add8cc1f2e7f6b743a8d4b951ed093_0.webp?q=82&s=300x300&t=crop&f=webp
28,여러시계 정품만 판매합니다,1000만원,울산 울주군 범서읍,7,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ca9f0cee74b3b24ad90fa9c686e5e0b0772c799b1d845c5aae2b5a058b0782d9.webp?q=82&s=300x300&t=crop&f=webp
29,평상,"200,000원",울산 남구 삼산동,30,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a607d0db3bcf1d1b0515a6fa270c7d2a943a2062e5b47e97b4918df489245abd.webp?q=82&s=300x300&t=crop&f=webp
30,이엠텍 GTX 1060 3g 잠시 판매보류,"50,000원",울산 중구 복산2동,11,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7a52aa04448fe998bc8792f73c3c94f2d4dbc5f8c175b1b507499533690b1e34_0.webp?q=82&s=300x300&t=crop&f=webp
31,그레이트북스 놀라운자연,"170,000원",울산 북구 화봉동,7,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d8c67c579e98790f9416465fcbd92d0781b07dd3e4b72a0e0de9de1281e05328_0.webp?q=82&s=300x300&t=crop&f=webp
32,TV55인치급처합니다,"100,000원",울산 동구 방어동,6,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b0cd9291a65bafe401c907fbf0f945efc3064257fb24c76518c477f9d704f282_0.webp?q=82&s=300x300&t=crop&f=webp
33,삼성버즈 2팔아요,"30,000원",울산 중구 태화동,10,15,https://dnvefa72aowie.cloudfront.net/origin/article/202307/88dc2008720d5b99241da974275b6a449958ca594affeb2478cb4524d1e1167e.jpg?q=82&s=300x300&t=crop&f=webp
34,다이슨 v8 무선청소기,"50,000원",울산 북구 농소3동,3,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/9746ea8f0e7550b48424949f7b5c81adc6ba038a998f7f4eb06607a3217dd329_0.webp?q=82&s=300x300&t=crop&f=webp
35,세탁기,"20,000원",울산 동구 방어동,2,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/9f729d16ac0f0ffe8829be38a13ca3383904b40d2dc87337ef064031409d235b.jpg?q=82&s=300x300&t=crop&f=webp
36,예초기,"150,000원",울산 남구 옥동,4,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/26b729d16dd8d02abcc80e4ebb22108eb6df92125065428480dca5de8096cd46_0.webp?q=82&s=300x300&t=crop&f=webp
37,☕️카페 재고 정리 중☕️린넨,"1,500원",울산 남구 삼산동,10,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/990ed4d02bf7d57aa32360ef0624624d0c170aae26c44f08e957e26d2ce75da7.jpg?q=82&s=300x300&t=crop&f=webp
38,이동식 에어컨 냉방기 원룸에어컨,"100,000원",울산 중구 성안동,4,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d518b1e26405ed4e0ce8eb2d6fb3be8c221a5de217decaa2db60bb34814b9229.jpg?q=82&s=300x300&t=crop&f=webp
39,구찌 백팩,"130,000원",울산 남구 옥동,14,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/53c4301537facac4961ab773c3477038e06997f9580e2788927cc7edd6c51c85_0.webp?q=82&s=300x300&t=crop&f=webp
40,lg 에어컨 팔아요,"400,000원",울산 동구 전하2동,2,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/61e6bb7e5bc1665979215e167cc9cd6ebb26d60168ddfef0cb162ef782ca1e09_0.webp?q=82&s=300x300&t=crop&f=webp
41,경주 라한호텔 숙박권(조식포함),"330,000원",울산 동구 화정동,5,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d3103186e09e314f441eb589537b80b44ed9c8b8508cf622765952f60f87519f_0.webp?q=82&s=300x300&t=crop&f=webp
42,실리트냄비세트,"30,000원",울산 울주군 범서읍,5,2,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f0ad8dd593ae8e0f239e23fbb255bf4a9c7316983fffa76447c8c4028bfc56ae.jpg?q=82&s=300x300&t=crop&f=webp
43,큰화분 식물  판매합니다.,"5,000원",울산 남구 달동,9,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/9466aafcb5d904cd176a65eb8f072d65757b72bc79d80a25020d7dfce776fbbf.webp?q=82&s=300x300&t=crop&f=webp
44,책.,"3,000원",울산 울주군 범서읍,3,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cb438be28b991afff229a1e6b3b391f060f96cbed81b2eb10f15d55ed85a151e_0.webp?q=82&s=300x300&t=crop&f=webp
45,이미스 가방,"50,000원",울산 남구 신정동,12,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ee95b15e3d45fb0810f8063fcc375ab1b3d5ab15e0c97a699792f45914c7758a.jpg?q=82&s=300x300&t=crop&f=webp
46,아이폰 Xr 부품용,"50,000원",울산 동구 방어동,3,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/250a915f0b1ee53aaef6b4a8166d4c4e8937b976d3664ad6aa0643e558c63ae7.jpg?q=82&s=300x300&t=crop&f=webp
47,딸이스던거,"3,000원",울산 북구 화봉동,1,2,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d8c21e291147dce56261cfa4ab53922c1fd07ca3b772732b431a0708a612848b_0.webp?q=82&s=300x300&t=crop&f=webp
