item,price,region,like,chat,image
선반,"5,000원",강원도 강릉시 노암동,11,15,images/gw/gwimg0.jpg
홍천잣 팔아요!~~,"1,000원",강원도 원주시 단계동,7,17,images/gw/gwimg1.jpg
콤프레샤 판매합니다 상태 좋고 깨끗합니다.,9억 9999만 9999원,강원도 강릉시 교동,4,14,images/gw/gwimg2.jpg
"철제 수납장, 선반","10,000원",강원도 원주시 지정면,10,10,images/gw/gwimg3.jpg
흰색 선반,"10,000원",강원도 속초시 교동,40,23,images/gw/gwimg4.jpg
일리 커피캡슐머신 침구청소기등,,강원도 춘천시 후평2동,1,10,images/gw/gwimg5.jpg
캠핑 접습니다 장비 대량 판매,10억원,강원도 춘천시 우두동,25,31,images/gw/gwimg6.jpg
쿠크다스 큰거,"1,000원",강원도 속초시 교동,1,5,images/gw/gwimg7.jpg
중고냉장고,"150,000원",강원도 강릉시 홍제동,2,8,images/gw/gwimg8.jpg
죄송합니다  노각나눰하려고한 오이가  천여평이우박피해로 지연됍니다,나눔🧡,강원도 원주시 호저면,8,5,images/gw/gwimg9.jpg
앵글선반 선반,"100,000원",강원도 원주시 명륜동,9,9,images/gw/gwimg10.jpg
전기릴선,"20,000원",강원도 원주시 단계동,3,4,images/gw/gwimg11.jpg
자전거 팔아요,"20,000원",강원도 삼척시 당저동,8,17,images/gw/gwimg12.jpg
화분 정리대,"13,000원",강원도 강릉시 교1동,2,3,images/gw/gwimg13.jpg
바이스 팝니다,"15,000원",강원도 강릉시 유천동,5,5,images/gw/gwimg14.jpg
작은 냉장고,"100,000원",강원도 원주시 단계동,4,5,images/gw/gwimg15.jpg
먹태깡,"3,000원",강원도 춘천시 효자2동,7,21,images/gw/gwimg16.jpg
스팸,"11,000원",강원도 원주시 지정면,1,7,images/gw/gwimg17.jpg
샤오미 스마트 스탠딩 선풍기 2,"25,000원",강원도 속초시 조양동,1,6,images/gw/gwimg18.jpg
sk메직 가스렌지 판매합니다,"50,000원",강원도 속초시 교동,3,6,images/gw/gwimg19.jpg
쿠잉냉장고 REF 09CNR,"35,000원",강원도 동해시 천곡동,3,5,images/gw/gwimg20.jpg
김치냉장고,"50,000원",강원도 원주시 단구동,4,3,images/gw/gwimg21.jpg
